dist,region,reg_prop,2020_pop,pop_pct,2025_dif,2025_pop,2030_dif,2030_pop,2035_dif,2035_pop,2040_dif,2040_pop,2045_dif,2045_pop,2050_dif,2050_pop,2055_dif,2055_pop,2060_dif,2060_pop,2065_dif,2065_pop,2070_dif,2070_pop,2075_dif,2075_pop,2080_dif,2080_pop,2085_pop,2085_pop,2090_dif,2090_pop,2095_dif,2095_pop,2100_dif,2100_pop,current_urban_pix,total_pix,gdd,2050_urbpix
Assin Fosu,ASHANTI,Ashanti,90637,0.29,12139,102776,22911,113548,31627,122264,42880,133517,51434,142071,62293,152930,69675,160312,79509,170146,85538,176175,94384,185021,99139,189776,106857,197494,110043,200680,116227,206864,117728,208365,122610,213247,11638,286367,,
Assin North,ASHANTI,Ashanti,80534,0.26,11610,92144,20357,100891,29082,109616,38100,118634,46840,127374,55349,135883,63194,143728,70647,151181,77416,157950,83863,164397,89610,170144,94946,175480,99386,179920,103271,183805,106276,186810,108943,189477,10354,830391,11.9,
Assin South,CENTRAL,Central,123440,0.4,18320,141760,31203,154643,45200,168640,58399,181839,72520,195960,84837,208277,97680,221120,108285,231725,119560,243000,128543,251983,138320,261760,145530,268970,153360,276800,158291,281731,163960,287400,166984,290424,14783,1223873,10.7,
Asunafo North,CENTRAL,Central,157870,0.51,22874,180744,39906,197776,57146,215016,74688,232558,91979,249849,108500,266370,124058,281928,138488,296358,151955,309825,164396,322266,175874,333744,186122,343992,195050,352920,202442,360312,208565,366435,213559,371429,19951,1567039,6.1,
Asunafo South,CENTRAL,Central,120976,0.39,17240,138216,30580,151556,43448,164424,57233,178209,70085,191061,83144,204120,94616,215592,106124,227100,115949,236925,125977,246953,134240,255216,142625,263601,148904,269880,155131,276107,159239,280215,163651,284627,11450,1025244,10.8,
Asuogyaman,AHAFO,Ahafo,123568,0.4,18192,141760,31235,154803,45072,168640,58460,182028,72392,195960,84925,208493,97552,221120,108397,231965,119432,243000,128676,252244,138192,261760,145681,269249,153232,276800,158455,282023,163832,287400,167157,290725,23559,852818,2.8,
Asutifi North,AHAFO,Ahafo,66141,0.21,8283,74424,16719,82860,22395,88536,31291,97432,36738,102879,45457,111598,49947,116088,58021,124162,61434,127575,68875,135016,71283,137424,77977,144118,79179,145320,84815,150956,84744,150885,89473,155614,15854,1039341,4.3,
Asutifi South,EASTERN,Eastern,67763,0.22,10205,77968,17129,84892,24989,92752,32058,99821,40015,107778,46572,114335,53853,121616,59444,127207,65887,133650,70564,138327,76205,143968,79890,147653,84477,152240,86895,154658,90307,158070,91667,159430,10216,663099,,
Atebubu Amantin,AHAFO,Ahafo,132818,0.43,19574,152392,33573,166391,48470,181288,62836,195654,77839,210657,91283,224101,104886,237704,116512,249330,128407,261225,138308,271126,148574,281392,156586,289404,164742,297560,170317,303135,176137,308955,179670,312488,17035,2918229,,
Atiwa East,AHAFO,Ahafo,62563,0.2,8317,70880,15815,78378,21757,84320,29598,92161,35417,97980,42998,105561,47997,110560,54882,117445,58937,121500,65149,127712,68317,130880,73759,136322,75837,138400,80226,142789,81137,143700,84632,147195,12491,645040,6.2,
